SKU,Produto,Variacao,Vendido_12_meses,Ritmo_mensal,Estoque_atual,Estoque_minimo_3_meses
8,Palo Santo Incense Wood,1⅜oz,0,0,0,0
ACMB0100,Peruvian Agua de Florida,70ml,16,1.33,0,4
ACMB0101,Peruvian Agua de Florida,270ml,16,1.33,0,4
AISE0100,Shamanic Earrings,Sword of Saint Barbara,0,0,3,0
AISE0200,Shamanic Earrings,Red Coral Snake,0,0,2,0
AISE0300,Shamanic Earrings,Black Coral Snake,0,0,4,0
AISE0400,Shamanic Earrings,Red Coral Snake XL,0,0,5,0
AISE0500,Sacred Serpent Necklace,Red Coral Snake,0,0,3,0
AISE0600,Sacred Serpent Necklace,Black Coral Snake,0,0,3,0
AISE0700,Sacred Serpent Necklace,Boa Constrictor,0,0,3,0
AISE0800,Sacred Serpents Resin Bracelet,Red,0,0,0,0
AISE0801,Sacred Serpents Resin Bracelet,Black,4,0.33,0,1
AIYA0101,Yawanawa Earrings - Large,Black/Yellow,0,0,1,0
AIYA0102,Yawanawa Earrings - Large,Light Green,0,0,0,0
AIYA0103,Yawanawa Earrings - Large,White/Yellow,0,0,1,0
AIYA0104,Yawanawa Earrings - Large,Red,0,0,1,0
AIYA0105,Yawanawa Earrings - Large,Colorful,0,0,0,0
AIYA0106,Yawanawa Earrings - Large,Blue,0,0,0,0
AIYA0107,Yawanawa Earrings,AIYA0107,0,0,0,0
AIYA0108,Yawanawa Earrings,AIYA0108,1,0.08,0,1
AIYA0109,Yawanawa Earrings,AIYA0109,0,0,0,0
AIYA0110,Yawanawa Earrings,AIYA0110,0,0,0,0
AIYA0111,Yawanawa Earrings,AIYA0111,1,0.08,0,1
AIYA0112,Yawanawa Earrings - Large,Pink/Yellow,0,0,1,0
AIYA0113,Yawanawa Earrings - Xtra Large,Blue,0,0,0,0
AIYA0114,Yawanawa Earrings - Xtra Large,Gold,0,0,1,0
AIYA0115,Yawanawa Earrings - Xtra Large,Red/Yellow,0,0,0,0
AIYA0116,Yawanawa Earrings - Xtra Large,Black/White,0,0,1,0
AIYA0117,Yawanawa Earrings - Xtra Large,Blue/Green,0,0,0,0
AIYA0200,Yawanawa Necklace,,0,0,1,0
AIYA0201,Yawanawa Necklace,Pink,0,0,2,0
AIYA0202,Yawanawa Necklace,Green,0,0,0,0
AIYA0203,Yawanawa Necklace - Cerimonial,,0,0,1,0
AIYA0301,Yawanawá Wristband - Medium,Orange/Black,0,0,0,0
AIYA0303,Yawanawá Wristband - Large,White/Blue,0,0,0,0
AIYA0304,Yawanawá Wristband - Large,White/Green,0,0,0,0
AIYA0305,Yawanawá Wristband - Large,Brown,0,0,0,0
AIYA0306,Yawanawá Wristband - Medium,Red/Yellow,0,0,0,0
AIYA0308,Yawanawá Wristband - Large,Black/Green,0,0,0,0
AIYA0309,Yawanawá Wristband - Medium,Blue/Black,0,0,0,0
AIYA0310,Yawanawá Wristband,Green/Black,0,0,0,0
AIYA0311,Yawanawá Wristband,Black/White,0,0,0,0
AIYA0313,Yawanawá Wristband - Large,Blue/Green,0,0,0,0
AIYA0314,Yawanawá Wristband - Medium,Yellow/Black,0,0,0,0
AIYA0316,Yawanawá Wristband - Medium,Light Green,0,0,0,0
AIYA0317,Yawanawá Wristband,Yellow/Red,0,0,0,0
AIYA0318,Yawanawá Wristband,Blue,0,0,0,0
AIYA0400,Yawanawá Wristband Pair,AIYA0400,0,0,0,0
AIYA0401,Yawanawá Wristband Pair,AIYA0401,0,0,1,0
AIYA0402,Yawanawá Wristband Pair,AIYA0402,0,0,1,0
AIYA0500,Yawanawá Wristband Pair - Large,,0,0,0,0
AIYA0600,Yawanawa Necklace,Light Pink,0,0,1,0
AIYA0601,Yawanawa Necklace,Black/Blue,0,0,1,0
AIYA0602,Yawanawa Necklace,Black/White,1,0.08,0,1
AIYA0603,Yawanawa Necklace,Colorful,0,0,1,0
AIYA0800,Yawanawá Wristband - Small Beads,Black/White,0,0,0,0
AIYA0801,Yawanawá Wristband - Small Beads,Green/Blue,0,0,0,0
AIYA0802,Yawanawá Wristband - Small Beads,Light Pink,0,0,0,0
AIYA0803,Yawanawá Wristband - Small Beads,Yellow/Red,0,0,0,0
AIYA0804,Yawanawá Wristband - Small Beads,Brown/White,0,0,0,0
AMJM01,Ambil – 50g,,222,18.5,0,56
AWSE0100,"Ashwagandha Extract - Withania Somnifera - MAYA, 10ml",,14,1.17,5,4
BOSE0100,"Bobinsana Extract - Calliandra Angustifolia, Micro Dosing - MAYA,10ml",,11,0.92,0,3
CAPL0300,Fuerza Virilis in Capsules - Male Aphrodisiac,,2,0.17,0,1
CAPL0800,Mulungu in Capsules - Erythrina Mulungu - Sleep & Stress relief,,13,1.08,0,4
CHMX0100,Chilcuague Extract - Mouth Spray With Mint Flavor - 25ml,,0,0,4,0
CHMX0101,Chilcuague Lipbalm with Beeswax,,11,0.92,9,3
CHMX0102,Chilcuague Massage Oil - Balsamo de Oro - Grandma's Recipe - 60ml,,6,0.5,13,2
CHMX0103,Dry Chilcuague Root - 8g,,17,1.42,19,5
CHMX0104,Pure Chilcuague Extract - Concentrated Culinary Spray - 60ml,,24,2,4,6
CHMX0105,Chilcuague Extract - Mouth Spray - Honey with tangerine - 8ml,,23,1.92,2,6
CHMX0106,Chilcuague Extract - Mouth Spray - Lyptus - 8ml,,14,1.17,10,4
CHMX0107,Chilcuas Nasal Spray – Chilcuague (Heliopsis longipes) 30 ml,,15,1.25,23,4
CICO0100,Artisanal Hand Rolled Cigar From Colombia,,146,12.17,0,37
EXPL0103,Mulungu Tincture - 30ml,,25,2.08,6,7
EXPL0204,Dragon Blood - 10ml,,76,6.33,0,19
FVTC0100,Tauari Mapacho Smudge - Unit,,124,10.33,49,31
INFX0100,Fenix Incense Sticks - Benjoim - 100% Natural Benzoin Hand Made Incense from Brazil,,10,0.83,9,3
INFX0200,Fenix Incense Sticks - Breuzinho - 100% Natural Grey Copal Hand Made Incense from Brazil,,20,1.67,0,5
INFX0300,Fenix Incense Sticks - Capim Limão - Lemongrass Flavoured Hand Made 100% Natural Incense from Brazil,,7,0.58,12,2
INFX0500,Fenix Incense Sticks - Citronella - Hand Made 100% Natural Mosquito Repellent Incense from Brazil,,5,0.42,0,2
INFX0700,Fenix Incense Sticks - Styrax,,6,0.5,0,2
INFX0800,Fenix Incense Sticks - Gerânio - 100% Natural Geranium Hand Made Incense from Brazil,,20,1.67,4,5
INFX0900,Fenix Incense Sticks - Myrrh,,17,1.42,0,5
INFX1000,Fenix Incense Sticks - Pure Frankincense,,15,1.25,0,4
INFX1100,Fenix Incense Sticks - Palo Santo,,0,0,0,0
INFX1200,Fenix Incense Sticks - Patchouli,,3,0.25,13,1
INFX1300,Fenix Incense Sticks - White Sage,,10,0.83,9,3
INFX1400,Fenix Incense Sticks - 7 Sacred Herbs,,0,0,10,0
INFX1500,Fenix Incense Sticks - Rue,,5,0.42,8,2
